time,edge_weight_89,edge_weight_810,edge_weight_811,edge_weight_812,edge_weight_813,edge_weight_914,edge_weight_915,edge_weight_916,edge_weight_917,edge_weight_918,edge_weight_1019,edge_weight_1020,edge_weight_1121,edge_weight_1122,edge_weight_1123,edge_weight_1224,edge_weight_1225,edge_weight_1326,edge_weight_1327
791,0,0,0,0,0,0,0,473438,11,87,92,11,87,92,11,87,473530,92,11
790,0,0,0,0,0,0,0,481206,11,87,92,11,87,92,11,87,481298,92,11
789,0,0,0,0,0,0,0,488974,11,87,92,11,87,92,11,87,489066,92,11
788,0,0,0,0,0,0,0,496742,11,87,92,11,87,92,11,87,496834,92,11
787,0,0,0,0,0,0,0,504510,11,87,92,11,87,92,11,87,504602,92,11
786,0,0,0,0,0,0,0,512278,11,87,92,11,87,92,11,87,512370,92,11
785,0,0,0,0,0,0,0,520046,11,87,92,11,87,92,11,87,520138,92,11
784,0,0,0,0,0,0,0,527814,11,87,92,11,87,92,11,87,527906,92,11
783,0,0,0,0,0,0,0,535583,11,87,92,11,87,92,11,87,535675,92,11
782,0,0,0,0,0,0,0,543352,11,87,92,11,87,92,11,87,543444,92,11
781,0,0,0,0,0,0,0,551121,11,87,92,11,87,92,11,87,551213,92,11
780,0,0,0,0,0,0,0,558890,11,87,92,11,87,92,11,87,558982,92,11
779,0,0,0,0,0,0,0,566659,11,87,92,11,87,92,11,87,566751,92,11
778,0,0,0,0,0,0,0,574429,11,87,92,11,87,92,11,87,574521,92,11
777,0,0,0,0,0,0,0,582199,11,87,92,11,87,92,11,87,582291,92,11
776,0,0,0,0,0,0,0,589973,11,87,92,11,87,92,11,87,590065,92,11
775,0,0,0,0,0,0,0,597751,11,87,92,11,87,92,11,87,597843,92,11
774,0,0,0,0,0,0,0,605534,11,87,92,11,87,92,11,87,605626,92,11
773,0,0,0,0,0,0,0,613317,11,87,92,11,87,92,11,87,613409,92,11
772,0,0,0,0,0,0,0,621100,11,87,92,11,87,92,11,87,621192,92,11
771,0,0,0,0,0,0,0,628883,11,87,92,11,87,92,11,87,628975,92,11
770,0,0,0,0,0,0,0,636666,11,87,92,11,87,92,11,87,636758,92,11
769,0,0,0,0,0,0,0,644449,11,87,92,11,87,92,11,87,644541,92,11
768,0,0,0,0,0,0,0,652232,11,87,92,11,87,92,11,87,652324,92,11
767,0,0,0,0,0,0,0,660015,11,87,92,11,87,92,11,87,660107,92,11
766,0,0,0,0,0,0,0,667798,11,87,92,11,87,92,11,87,667890,92,11
765,0,0,0,0,0,0,0,675581,11,87,92,11,87,92,11,87,675673,92,11
764,0,0,0,0,0,0,0,683364,11,87,92,11,87,92,11,87,683456,92,11
763,0,0,0,0,0,0,0,691147,11,87,92,11,87,92,11,87,691239,92,11
762,0,0,0,0,0,0,0,698931,11,87,92,11,87,92,11,87,699023,92,11
761,0,0,0,0,0,0,0,706715,11,87,92,11,87,92,11,87,706807,92,11
760,0,0,0,0,0,0,0,714499,11,87,92,11,87,92,11,87,714591,92,11
759,0,0,0,0,0,0,0,722283,11,87,92,11,87,92,11,87,722375,92,11
758,0,0,0,0,0,0,0,730067,11,87,92,11,87,92,11,87,730159,92,11
757,0,0,0,0,0,0,0,737851,11,87,92,11,87,92,11,87,737943,92,11
756,0,0,0,0,0,0,0,745635,11,87,92,11,87,92,11,87,745727,92,11
755,0,0,0,0,0,0,0,753419,11,87,92,11,87,92,11,87,753511,92,11
754,0,0,0,0,0,0,0,761203,11,87,92,11,87,92,11,87,761295,92,11
753,0,0,0,0,0,0,0,768987,11,87,92,11,87,92,11,87,769079,92,11
752,0,0,0,0,0,0,0,776772,11,87,92,11,87,92,11,87,776864,92,11
751,0,0,0,0,0,0,0,784557,11,87,92,11,87,92,11,87,784649,92,11
750,0,0,0,0,0,0,0,792342,11,87,92,11,87,92,11,87,792434,92,11
749,0,0,0,0,0,0,0,800127,11,87,92,11,87,92,11,87,800219,92,11
748,0,0,0,0,0,0,0,807912,11,87,92,11,87,92,11,87,808004,92,11
747,0,0,0,0,0,0,0,815697,11,87,92,11,87,92,11,87,815789,92,11
746,0,0,0,0,0,0,0,823482,11,87,92,11,87,92,11,87,823574,92,11
745,0,0,0,0,0,0,0,831268,11,87,92,11,87,92,11,87,831360,92,11
744,0,0,0,0,0,0,0,839054,11,87,92,11,87,92,11,87,839146,92,11
743,0,0,0,0,0,0,0,846840,11,87,92,11,87,92,11,87,846932,92,11
742,0,0,0,0,0,0,0,854626,11,87,92,11,87,92,11,87,854718,92,11
741,0,0,0,0,0,0,0,862413,11,87,92,11,87,92,11,87,862505,92,11
740,0,0,0,0,0,0,0,870201,11,87,92,11,87,92,11,87,870293,92,11
739,0,0,0,0,0,0,0,877990,11,87,92,11,87,92,11,87,878082,92,11
738,0,0,0,0,0,0,0,885779,11,87,92,11,87,92,11,87,885871,92,11
737,0,0,0,0,0,0,0,893568,11,87,92,11,87,92,11,87,893660,92,11
736,0,0,0,0,0,0,0,901357,11,87,92,11,87,92,11,87,901449,92,11
735,0,0,0,0,0,0,0,909146,11,87,92,11,87,92,11,87,909238,92,11
734,0,0,0,0,0,0,0,916935,11,87,92,11,87,92,11,87,917027,92,11
733,0,0,0,0,0,0,0,924724,11,87,92,11,87,92,11,87,924816,92,11
732,0,0,0,0,0,0,0,932513,11,87,92,11,87,92,11,87,932605,92,11
731,0,0,0,0,0,0,0,940317,11,87,92,11,87,92,11,87,940409,92,11
730,0,0,0,0,0,0,0,948136,11,87,92,11,87,92,11,87,948228,92,11
729,0,0,0,0,0,0,0,955971,11,87,92,11,87,92,11,87,956063,92,11
728,0,0,0,0,0,0,0,963806,11,87,92,11,87,92,11,87,963898,92,11
727,0,0,0,0,0,0,0,971641,11,87,92,11,87,92,11,87,971733,92,11
726,0,0,0,0,0,0,0,979480,11,87,92,11,87,92,11,87,979572,92,11
725,0,0,0,0,0,0,0,987323,11,87,92,11,87,92,11,87,987415,92,11
724,0,0,0,0,0,0,0,995172,11,87,92,11,87,92,11,87,995264,92,11
723,0,0,0,0,0,0,0,1003021,11,87,92,11,87,92,11,87,1003113,92,11
722,0,0,0,0,0,0,0,1010870,11,87,92,11,87,92,11,87,1010962,92,11
721,0,0,0,0,0,0,0,1018719,11,87,92,11,87,92,11,87,1018811,92,11
720,0,0,0,0,0,0,0,1026568,11,87,92,11,87,92,11,87,1026660,92,11
719,0,0,0,0,0,0,0,1034417,11,87,92,11,87,92,11,87,1034509,92,11
718,0,0,0,0,0,0,0,1042270,11,87,92,11,87,92,11,87,1042362,92,11
717,0,0,0,0,0,0,0,1050127,11,87,92,11,87,92,11,87,1050219,92,11
716,0,0,0,0,0,0,0,1057990,11,87,92,11,87,92,11,87,1058082,92,11
715,0,0,0,0,0,0,0,1065853,11,87,92,11,87,92,11,87,1065945,92,11
714,0,0,0,0,0,0,0,1073716,11,87,92,11,87,92,11,87,1073808,92,11
713,0,0,0,0,0,0,0,1081579,11,87,92,11,87,92,11,87,1081671,92,11
712,0,0,0,0,0,0,0,1089442,11,87,92,11,87,92,11,87,1089534,92,11
711,0,0,0,0,0,0,0,1097305,11,87,92,11,87,92,11,87,1097397,92,11
710,0,0,0,0,0,0,0,1105168,11,87,92,11,87,92,11,87,1105260,92,11
709,0,0,0,0,0,0,0,1113031,11,87,92,11,87,92,11,87,1113123,92,11
708,0,0,0,0,0,0,0,1120894,11,87,92,11,87,92,11,87,1120986,92,11
707,0,0,0,0,0,0,0,1128757,11,87,92,11,87,92,11,87,1128849,92,11
706,0,0,0,0,0,0,0,1136620,11,87,92,11,87,92,11,87,1136712,92,11
705,0,0,0,0,0,0,0,1144483,11,87,92,11,87,92,11,87,1144575,92,11
704,0,0,0,0,0,0,0,1152346,11,87,92,11,87,92,11,87,1152438,92,11
703,0,0,0,0,0,0,0,1160210,11,87,92,11,87,92,11,87,1160302,92,11
702,0,0,0,0,0,0,0,1168074,11,87,92,11,87,92,11,87,1168166,92,11
701,0,0,0,0,0,0,0,1175938,11,87,92,11,87,92,11,87,1176030,92,11
700,0,0,0,0,0,0,0,1183802,11,87,92,11,87,92,11,87,1183894,92,11
699,0,0,0,0,0,0,0,1191666,11,87,92,11,87,92,11,87,1191758,92,11
698,0,0,0,0,0,0,0,1199535,11,87,92,11,87,92,11,87,1199627,92,11
697,0,0,0,0,0,0,0,1207408,11,87,92,11,87,92,11,87,1207500,92,11
